"Title","TotalCoin","TotalWechat","TotalManual","TotalRun","NoColdRun","NoWarmRun","NoHotRun","NoOtherRun","ActualTotalRunTime","ActualTotalRunTimeTop","ActualTotalRunTimeBot","ExpectedTotalRunTime","myDate"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"03/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"03/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,null,"03/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,null,"03/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"03/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,null,"03/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,null,"03/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"03/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,null,"03/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,null,"03/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"03/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,null,"03/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,null,"03/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"03/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,null,"03/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,null,"03/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"03/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,0,"03/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,0,"03/01/2019"
"SP-W1",67,0,5,8,1,0,0,7,8,0,0,200,"06/01/2019"
"SP-D17-18",32,0,0,8,0,0,0,0,0,0,4,80,"06/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,0,"06/01/2019"
"SP-W1",36,0,0,4,0,0,0,4,4,0,0,100,"07/01/2019"
"SP-D17-18",32,0,0,8,0,0,0,0,0,0,4,80,"07/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,0,"07/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"07/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,0,"07/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,0,"07/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"07/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,0,"07/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,0,"07/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"08/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,0,"08/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,0,"08/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"09/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,0,"09/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,0,"09/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"09/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,0,"09/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,0,"09/01/2019"
"SP-W1",0,0,0,0,0,0,0,0,0,0,0,0,"10/01/2019"
"SP-D17-18",0,0,0,0,0,0,0,0,0,0,0,0,"10/01/2019"
"SP-D19-20",0,0,0,0,0,0,0,0,0,0,0,0,"10/01/2019"
